Name,License number,Address,Start of validity,End of validity,latitude,longitude,scrape_status,maps_place,maps_url
Táltos Hungary 2000 Bt,DKE1600000238,1154 Budapest 15. ker. Széchenyi utca 2.,2013.07.01,2033.06.30,47.4603871,19.1367029,no_place,,"https://www.google.com/maps/search/1154+Budapest+15.+ker.+Sz%C3%A9chenyi+utca+2./@47.5239247,19.0796143,14z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tanács Istvánné,DKE1700000053,1046 Budapest 04. ker. Szent Imre utca 1.,2013.07.01,2033.06.30,47.5669697,19.0972522,ok,"Budapest, OBI, Szent Imre u. 1, 1046 Hungary","https://www.google.com/maps/place/Budapest,+OBI,+Szent+Imre+u.+1,+1046+Hungary/@47.5669697,19.0972522,17z/data=!3m1!4b1!4m6!3m5!1s0x4741da38b1996547:0x8c6291f905c1dfed!8m2!3d47.5669697!4d19.0972522!16s%2Fg%2F11rgdl6yc3?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tason Cigarette Bt,DKE1600000215,1072 Budapest 07. ker. Rákóczi út 6.,2013.07.01,2033.06.30,47.4947912,19.0612327,ok,"Budapest, Rákóczi út 6, 1072 Hungary","https://www.google.com/maps/place/Budapest,+R%C3%A1k%C3%B3czi+%C3%BAt+6,+1072+Hungary/@47.4947912,19.0612327,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc431fc53bb7:0x40d03a7949bd0a45!8m2!3d47.4947912!4d19.0612327!16s%2Fg%2F11y0tf82_p?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tason Cigarette Bt,DKE1600000240,1071 Budapest 07. ker. Wesselényi utca 2.,2013.07.01,2033.06.30,47.4960093,19.0596951,ok,"Budapest, Wesselényi utca 2-1071, 1077 Hungary","https://www.google.com/maps/place/Budapest,+Wessel%C3%A9nyi+utca+2-1071,+1077+Hungary/@47.4960093,19.0596951,17z/data=!3m1!4b1!4m5!3m4!1s0x4741dc425c67629b:0xefddaafce9eb6cfb!8m2!3d47.4960093!4d19.0596951?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tason Cigarette Bt,DKE1600000271,1082 Budapest 08. ker. Baross utca 96. fsz. 4.,2013.07.01,2033.06.30,47.4893234,19.0800366,ok,Gold Orient Ékszer És Zálog,"https://www.google.com/maps/place/Gold+Orient+%C3%89kszer+%C3%89s+Z%C3%A1log/@47.4893234,19.0800366,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dcf41f242e6f:0x88f8a74fe68f867c!8m2!3d47.4893234!4d19.0800366!16s%2Fg%2F11fhvkhstb?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Természetes Hang Bt,DKE1010000129,1188 Budapest 18. ker. Nagykőrösi út 5/B.,2013.07.01,2033.06.30,47.4123999,19.1748003,no_place,,"https://www.google.com/maps/search/1188+Budapest+18.+ker.+Nagyk%C5%91r%C3%B6si+%C3%BAt+5%2FB./@47.4127633,19.1740644,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Természetes Hang Bt,DKE1010000131,1183 Budapest 18. ker. Nefelejcs utca 89/A,2013.07.01,2033.06.30,47.4471871,19.1906888,ok,"Budapest, Nefelejcs u. 89A, 1183 Hungary","https://www.google.com/maps/place/Budapest,+Nefelejcs+u.+89A,+1183+Hungary/@47.4471871,19.1906888,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c249b2f8a225:0x4eacca04a07c7d2b!8m2!3d47.4471871!4d19.1906888!16s%2Fg%2F11njzl2zp5?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Természetes Hang Bt,DKE1010000133,1184 Budapest 18. ker. Üllői út 440-442.,2013.07.01,2033.06.30,47.4403922,19.1855597,ok,"Budapest, Üllői út 440, 1183 Hungary","https://www.google.com/maps/place/Budapest,+%C3%9Cll%C5%91i+%C3%BAt+440,+1183+Hungary/@47.4403922,19.1855597,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c2472ce08d99:0x3c235caa927b926c!8m2!3d47.4403922!4d19.1855597!16s%2Fg%2F11vklh1jg6?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Természetes Hang Bt,DKE1010000135,1186 Budapest 18. ker. Goroszló utca 4.,2013.07.01,2033.06.30,47.4305406,19.1746217,ok,"Budapest, Goroszló u. 4, 1183 Hungary","https://www.google.com/maps/place/Budapest,+Goroszl%C3%B3+u.+4,+1183+Hungary/@47.4305406,19.1746217,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c26c211f27d9:0xbd990b05c35604f3!8m2!3d47.4305406!4d19.1746217!16s%2Fg%2F11pw3hfyyh?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Természetes Hang Bt,DKE1010000136,1186 Budapest 18. ker. Méta   156140/16,2013.07.01,2033.06.30,47.4264919,19.161476,no_place,,"https://www.google.com/maps/search/1186+Budapest+18.+ker.+M%C3%A9ta+++156140%2F16/@47.4273144,19.162686,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Ternes Ágnes,DKE1600000106,1106 Budapest 10. ker. Maglódi út 17.,2013.07.01,2033.06.30,47.4869391,19.1525425,ok,"Budapest, Maglódi út 17, 1106 Hungary","https://www.google.com/maps/place/Budapest,+Magl%C3%B3di+%C3%BAt+17,+1106+Hungary/@47.4869391,19.1525425,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c3441f403c91:0xf409208b9dece1e!8m2!3d47.4869391!4d19.1525425!16s%2Fg%2F11jn4dxjvj?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
The Tobacconist Bt,DKE1700000030,1024 Budapest 02. ker. Lövőház utca 17.,2013.07.01,2033.06.30,47.5097402,19.0252484,ok,"Budapest, Lövőház u. 17, 1024 Hungary","https://www.google.com/maps/place/Budapest,+L%C3%B6v%C5%91h%C3%A1z+u.+17,+1024+Hungary/@47.5097402,19.0252484,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dea6df0f4741:0x81b1cc318eb28a6f!8m2!3d47.5097402!4d19.0252484!16s%2Fg%2F11rgdlhg52?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
The Tobacconist Bt,DKE1700000125,1027 Budapest 02. ker. Csalogány utca 53,2013.07.01,2033.06.30,47.5083203,19.0285727,no_place,,"https://www.google.com/maps/search/1027+Budapest+02.+ker.+Csalog%C3%A1ny+utca+53/@47.5080339,19.0327623,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tibaco Gold Bt,DKE1010000065,1191 Budapest 19. ker. József Attila utca 57-63.,2013.07.01,2033.06.30,47.4556022,19.1422286,ok,"Budapest, József Attila u. 57-63, 1191 Hungary","https://www.google.com/maps/place/Budapest,+J%C3%B3zsef+Attila+u.+57-63,+1191+Hungary/@47.4556022,19.1422286,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c2e70977bcb1:0xcbfe6d256ed15e4e!8m2!3d47.4556022!4d19.1422286!16s%2Fg%2F11zgysyfy9?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tinadri Bt,DKE1600000201,"1148 Budapest, Fogarasi utca 18.",2023.03.07,2033.06.30,47.5028287,19.1171732,ok,"Budapest, Fogarasi út 18, 1148 Hungary","https://www.google.com/maps/place/Budapest,+Fogarasi+%C3%BAt+18,+1148+Hungary/@47.5028287,19.1171732,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dca3d55a2089:0x54035953c3800b2d!8m2!3d47.5028287!4d19.1171732!16s%2Fg%2F11fwhlnfrj?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tinadri Bt,DKE1700000116,"1048 Budapest, Óceánárok utca 5.",2023.03.07,2033.06.30,47.5790396,19.1146935,ok,"Budapest, Óceánárok u. 5, 1048 Hungary","https://www.google.com/maps/place/Budapest,+%C3%93ce%C3%A1n%C3%A1rok+u.+5,+1048+Hungary/@47.5790396,19.1146935,17z/data=!3m1!4b1!4m6!3m5!1s0x4741da6e08e64583:0x3577cbcfeeab566e!8m2!3d47.5790396!4d19.1146935!16s%2Fg%2F11yf64t3fl?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tisza Trafik Bt,DKE5110000041,6723 Szeged Budapesti körút 1.,2013.07.01,2033.06.30,46.2671711,20.1677277,ok,"Szeged, Budapesti krt. 1, 6723 Hungary","https://www.google.com/maps/place/Szeged,+Budapesti+krt.+1,+6723+Hungary/@46.2671711,20.1677277,17z/data=!3m1!4b1!4m6!3m5!1s0x4744881be7aa651d:0x3ed8a0ecd8c98ee7!8m2!3d46.2671711!4d20.1677277!16s%2Fg%2F11pztf9g0c?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobacco Heaven Bt,DKE1600000255,"1062 Budapest, Andrássy út 84.",2022.07.15,2033.06.30,47.5089689,19.068456,ok,"Budapest, Andrássy út 84, 1062 Hungary","https://www.google.com/maps/place/Budapest,+Andr%C3%A1ssy+%C3%BAt+84,+1062+Hungary/@47.5089689,19.068456,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc7107d80533:0x63a0e465be8b2699!8m2!3d47.5089689!4d19.068456!16s%2Fg%2F11rp451nx3?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobacco Leaves Bt,DKE1600000283,1061 Budapest 06. ker. Anker köz 1-3.,2013.07.01,2033.06.30,47.4980392,19.0556237,ok,"Budapest, Anker köz 1-3, 1061 Hungary","https://www.google.com/maps/place/Budapest,+Anker+k%C3%B6z+1-3,+1061+Hungary/@47.4980392,19.0556237,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc41d9ee1df5:0x71aba980473d6e2f!8m2!3d47.4980392!4d19.0556237!16s%2Fg%2F11nnky753t?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobacco Leaves Bt,DKE1600000287,1165 Budapest 16. ker. Jókai Mór utca 2.,2013.07.01,2033.06.30,47.5105929,19.1909268,ok,"Budapest, Jókai Mór u. 2, 1165 Hungary","https://www.google.com/maps/place/Budapest,+J%C3%B3kai+M%C3%B3r+u.+2,+1165+Hungary/@47.5105929,19.1909268,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c4922082a6cb:0xe0cc4eb632411326!8m2!3d47.5105929!4d19.1909268!16s%2Fg%2F11rtzm7kx2?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobacco Leaves Bt,DKE1600000291,1157 Budapest 15. ker. Legénybíró utca 2.,2013.07.01,2033.06.30,47.5405131,19.1410586,ok,"Budapest, Legénybíró u. 2, 1157 Hungary","https://www.google.com/maps/place/Budapest,+Leg%C3%A9nyb%C3%ADr%C3%B3+u.+2,+1157+Hungary/@47.5405131,19.1410586,17z/data=!3m1!4b1!4m6!3m5!1s0x4741db21ef2a8831:0x9fbd0dca1ce71d6a!8m2!3d47.5405131!4d19.1410586!16s%2Fg%2F11vjj_6zzb?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobacco Shop Bt,DKE1600000061,1061 Budapest 06. ker. Király   28.,2013.07.01,2033.06.30,47.499745,19.059188,ok,"Budapest, Király u. 28, 1061 Hungary","https://www.google.com/maps/place/Budapest,+Kir%C3%A1ly+u.+28,+1061+Hungary/@47.499745,19.059188,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc6a283bcdf5:0x34a4441768afddf4!8m2!3d47.499745!4d19.059188!16s%2Fg%2F11nnkp_47j?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobacco World Bt,DKE1700000158,"1138 Budapest, Váci út 134/C.",2023.10.27,2033.06.30,47.5352474,19.0674579,ok,"Budapest, Váci út 134c, 1138 Hungary","https://www.google.com/maps/place/Budapest,+V%C3%A1ci+%C3%BAt+134c,+1138+Hungary/@47.5352474,19.0674579,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dbe9976b91e5:0xec231e313cc42335!8m2!3d47.5352474!4d19.0674579!16s%2Fg%2F11q2nfh9kz?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobacco World Bt.,DKE1700000157,"1137 Budapest, Szent István körút 12.",2024.01.05,2033.06.30,47.5126753,19.0507244,ok,"Budapest, Szent István krt. 12, 1137 Hungary","https://www.google.com/maps/place/Budapest,+Szent+Istv%C3%A1n+krt.+12,+1137+Hungary/@47.5126753,19.0507244,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc0eef98d86d:0x626feb406e2b455!8m2!3d47.5126753!4d19.0507244!16s%2Fg%2F11s4b2t311?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobacconist Trade Bt,DKE1010000279,1118 Budapest 11. ker. Budaörsi út 115.,2013.07.01,2033.06.30,47.4673814,19.0165604,ok,"Budapest, Budaörsi út 115, 1118 Hungary","https://www.google.com/maps/place/Budapest,+Buda%C3%B6rsi+%C3%BAt+115,+1118+Hungary/@47.4673814,19.0165604,17z/data=!3m1!4b1!4m6!3m5!1s0x4741ddc31889581d:0xf4c9b27a62200936!8m2!3d47.4673814!4d19.0165604!16s%2Fg%2F11gdypch60?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobacconist Trade Bt,DKE1600000292,1071 Budapest 07. ker. Damjanich utca 32.,2013.07.01,2033.06.30,47.5079472,19.0783538,ok,"Budapest, Damjanich u. 32, 1071 Hungary","https://www.google.com/maps/place/Budapest,+Damjanich+u.+32,+1071+Hungary/@47.5079472,19.0783538,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc7b90cf7a63:0x31493b3e6c06651c!8m2!3d47.5079472!4d19.0783538!16s%2Fg%2F11q2vxnkbf?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobacconist Trade Bt,DKE1600000294,1146 Budapest 14. ker. Thököly utca 151/c.,2013.07.01,2033.06.30,47.5162276,19.1075377,ok,"Budapest, Thököly út 151/c, 1146 Hungary","https://www.google.com/maps/place/Budapest,+Th%C3%B6k%C3%B6ly+%C3%BAt+151%2Fc,+1146+Hungary/@47.5162276,19.1075377,17z/data=!3m1!4b1!4m6!3m5!1s0x4741db7b35a556fd:0x78cff176331b9f41!8m2!3d47.5162276!4d19.1075377!16s%2Fg%2F11w_y5069s?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobakko Magyar Dohány Bt,DKE1600000074,1162 Budapest 16. ker. Budapesti út 119/D,2013.07.01,2033.06.30,47.5197379,19.179681,ok,"Budapest, Budapesti út 119d, 1162 Hungary","https://www.google.com/maps/place/Budapest,+Budapesti+%C3%BAt+119d,+1162+Hungary/@47.5197379,19.179681,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c4c0e4574597:0xc3d7df8c9ad36631!8m2!3d47.5197379!4d19.179681!16s%2Fg%2F11c5jqfx2v?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tobakko Magyar Dohány Bt,DKE1600000104,1162 Budapest 16. ker. Szlovák út 82.,2013.07.01,2033.06.30,47.5357232,19.180487,ok,"Budapest, Szlovák út 82, 1162 Hungary","https://www.google.com/maps/place/Budapest,+Szlov%C3%A1k+%C3%BAt+82,+1162+Hungary/@47.5357232,19.180487,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c4d786c7779f:0x81507851fc6e6055!8m2!3d47.5357232!4d19.180487!16s%2Fg%2F11j8w48m3f?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
Tomore Trafik bt,DKE1010000214,1111 Budapest 11. ker. Móricz Zsigmond körtér 2,2013.07.01,2033.06.30,47.4781589,19.0477641,ok,"Budapest, Móricz Zsigmond körtér 2, 1114 Hungary","https://www.google.com/maps/place/Budapest,+M%C3%B3ricz+Zsigmond+k%C3%B6rt%C3%A9r+2,+1114+Hungary/@47.4781589,19.0477641,17z/data=!3m1!4b1!4m6!3m5!1s0x4741ddb321ca7d19:0x81513de880d2c9fa!8m2!3d47.4781589!4d19.0477641!16s%2Fg%2F11n9p_5ctx?hl=en&entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D"
