Name,License number,Address,Start of validity,End of validity,latitude,longitude,scrape_status,maps_place,maps_url
MagikTrafik Bt.,DKE1700000216,"1135 Budapest, Lehel utca 64-68.",2025.10.22,2033.06.30,47.5282509,19.0793312,ok,"Budapest, Lehel u 64-68, 1135 Hungary","https://www.google.com/maps/place/Budapest,+Lehel+u+64-68,+1135+Hungary/@47.5282509,19.0793312,17z/data=!3m1!4b1!4m6!3m5!1s0x4741db9163d3ff19:0x5f48eee80dd566a5!8m2!3d47.5282509!4d19.0793312!16s%2Fg%2F11q2xvfv18?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
MagikTrafik Bt.,DKE1700000217,"1139 Budapest, Pap Károly utca 22/B. Ü-2.",2025.11.28,2033.06.30,47.5319583,19.0715655,no_place,,"https://www.google.com/maps/search/1139+Budapest,+Pap+K%C3%A1roly+utca+22%2FB.+%C3%9C-2./@47.532553,19.0729091,18z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Maglódi Ágnes Dohánytrafik Bt,DKE8110000251,2112 Veresegyház Budapesti út 108.,2013.07.01,2033.06.30,47.6554981,19.2633973,ok,"Veresegyház, Budapesti u. 108, 2112 Hungary","https://www.google.com/maps/place/Veresegyh%C3%A1z,+Budapesti+u.+108,+2112+Hungary/@47.6554981,19.2633973,17z/data=!3m1!4b1!4m6!3m5!1s0x4741cdfaa49ee04f:0x4d4766ac06a16c57!8m2!3d47.6554981!4d19.2633973!16s%2Fg%2F11rcykmbwf?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Magyar Ákos,DKE1010000173,1185 Budapest 18. ker. Üllői út 696 .,2013.07.01,2033.06.30,47.4292364,19.218393,ok,"Budapest, Üllői út 696, 1185 Hungary","https://www.google.com/maps/place/Budapest,+%C3%9Cll%C5%91i+%C3%BAt+696,+1185+Hungary/@47.4292364,19.218393,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c1f353f96bcd:0xe47d2d812390fdb4!8m2!3d47.4292364!4d19.218393!16s%2Fg%2F11pw2vc_v6?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Magyar Ákos,DKE1010000174,1203 Budapest 20. ker. Baross utca hrsz. 170204/9,2013.07.01,2033.06.30,,,no_place,,"https://www.google.com/maps/search/1203+Budapest+20.+ker.+Baross+utca+hrsz.+170204%2F9/@47.4385752,19.096934,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Major-Lottó Bt.,DKE1010000004,"1212 Budapest, Széchenyi István utca 86.",2022.12.16,2033.06.30,47.4225585,19.0863255,ok,"Budapest, Széchenyi István u. 86, 1212 Hungary","https://www.google.com/maps/place/Budapest,+Sz%C3%A9chenyi+Istv%C3%A1n+u.+86,+1212+Hungary/@47.4225585,19.0863255,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e7fd5ab3b37d:0x80e5bf965643083c!8m2!3d47.4225585!4d19.0863255!16s%2Fg%2F11c5nypxj4?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mandi Bt.,DKE1010000142,1097 Budapest 09. ker. Nagyvárad téri aluljáró 4.,2013.07.01,2033.06.30,47.4779743,19.0898268,ok,Szent István Hospital Department of Artificial Kidney,"https://www.google.com/maps/place/Szent+Istv%C3%A1n+Hospital+Department+of+Artificial+Kidney/@47.4779743,19.0898268,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dce6cfec1a49:0x6ba5071017dd7b68!8m2!3d47.4779743!4d19.0898268!16s%2Fg%2F1v27t8b6?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mandi Bt.,DKE1600000066,"1088 Budapest 08. ker. Rákóczi út - Astoria aluljáró ""B"" üzlet",2013.07.01,2033.06.30,,,no_place,,"https://www.google.com/maps/search/1088+Budapest+08.+ker.+R%C3%A1k%C3%B3czi+%C3%BAt+-+Astoria+alulj%C3%A1r%C3%B3+%22B%22+%C3%BCzlet/@47.4942477,19.0610951,18z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Máté János,DKE1600000035,"1173 Budapest, Pesti út 39. 11. ü.",2022.09.22,2033.06.30,47.4831193,19.2382226,ok,"Budapest, Pesti út 39-11 u, 1173 Hungary","https://www.google.com/maps/place/Budapest,+Pesti+%C3%BAt+39-11+u,+1173+Hungary/@47.4831193,19.2382226,17z/data=!3m1!4b1!4m5!3m4!1s0x4741c3f96c45fd9b:0x4d70ab60e6ae4e83!8m2!3d47.4831193!4d19.2382226?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mátrai Péter Róbert,DKE1010000077,1183 Budapest 18. ker. Ráday Gedeon utca 93.,2013.07.01,2033.06.30,47.4517124,19.1949312,ok,"Budapest, Ráday Gedeon u. 93, 1183 Hungary","https://www.google.com/maps/place/Budapest,+R%C3%A1day+Gedeon+u.+93,+1183+Hungary/@47.4517124,19.1949312,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c24a8bb0c505:0x676cfb9eb2647809!8m2!3d47.4517124!4d19.1949312!16s%2Fg%2F11fwhlhhq1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Matusek Mónika Gyöngyi,DKE1010000020,"1117 Budapest, Dombóvári út 27.",2023.08.30,2033.06.30,47.4681379,19.0585851,ok,"Budapest, Dombóvári út 27, 1117 Hungary","https://www.google.com/maps/place/Budapest,+Domb%C3%B3v%C3%A1ri+%C3%BAt+27,+1117+Hungary/@47.4681379,19.0585851,17z/data=!3m1!4b1!4m6!3m5!1s0x4741ddf63c93c069:0x5a705195c43fb6c7!8m2!3d47.4681379!4d19.0585851!16s%2Fg%2F11hgc_hldl?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Matusek Mónika Gyöngyi,DKE1600000032,"1087 Budapest, Kerepesi út 5.",2023.08.30,2033.06.30,47.4993309,19.0848763,ok,"Budapest, Kerepesi út 5, 1087 Hungary","https://www.google.com/maps/place/Budapest,+Kerepesi+%C3%BAt+5,+1087+Hungary/@47.4993309,19.0848763,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc899e0a7f5b:0xec285d805cfeaecf!8m2!3d47.4993309!4d19.0848763!16s%2Fg%2F11c1zv22rs?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Matusek Mónika Gyöngyi,DKE1600000033,"1066 Budapest, Zichy Jenő utca 1.",2023.08.30,2033.06.30,47.5030549,19.0554268,ok,"Budapest, Zichy Jenő u. 1, 1066 Hungary","https://www.google.com/maps/place/Budapest,+Zichy+Jen%C5%91+u.+1,+1066+Hungary/@47.5030549,19.0554268,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc6b5bbe4b31:0xc508f4531c095d9e!8m2!3d47.5030549!4d19.0554268!16s%2Fg%2F11rg5_w55m?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mátyás Dohány Ker. Bt,DKE1600000069,1165 Budapest 16. ker. Újszász utca 87.,2013.07.01,2033.06.30,47.5094537,19.211263,ok,"Budapest, Újszász u. 87, 1165 Hungary","https://www.google.com/maps/place/Budapest,+%C3%9Ajsz%C3%A1sz+u.+87,+1165+Hungary/@47.5094537,19.211263,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c46101659c87:0xb77cd032d52362ae!8m2!3d47.5094537!4d19.211263!16s%2Fg%2F11hf81l0n1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
MAUT3NMOK Bt.,DKE1010000150,"1117 Budapest, Magyar Nobeldíjasok útja 4082/21/E.",2026.03.12,2033.06.30,,,no_place,,"https://www.google.com/maps/search/1117+Budapest,+Magyar+Nobeld%C3%ADjasok+%C3%BAtja+4082%2F21%2FE./@47.4706191,19.0624688,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mázsa Tabak Bt,DKE1010000327,"1126 Budapest, Királyhágó utca 2.",2023.10.24,2034.09.29,47.4952512,19.0230039,ok,"Budapest, Királyhágó u. 2, 1126 Hungary","https://www.google.com/maps/place/Budapest,+Kir%C3%A1lyh%C3%A1g%C3%B3+u.+2,+1126+Hungary/@47.4952512,19.0230039,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc264b0f578b:0x5499c304094cfd02!8m2!3d47.4952512!4d19.0230039!16s%2Fg%2F11sqf6bs0h?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Merci Tabak Bt,DKE1600000089,1087 Budapest 08. ker. Hős utca 9.,2013.07.01,2033.06.30,47.4959473,19.1075815,ok,"Budapest, Hős u. 9, 1087 Hungary","https://www.google.com/maps/place/Budapest,+H%C5%91s+u.+9,+1087+Hungary/@47.4959705,19.1075314,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc9622f07517:0x5f367df178983138!8m2!3d47.4959473!4d19.1075815!16s%2Fg%2F11b8zcw726?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Merci Tabak Bt,DKE1600000108,1062 Budapest 06. ker. Teréz körút 55.,2013.07.01,2033.06.30,47.5106103,19.0566883,no_place,,"https://www.google.com/maps/search/1062+Budapest+06.+ker.+Ter%C3%A9z+k%C3%B6r%C3%BAt+55./@47.5101033,19.0585447,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Merin Tabak Bt,DKE1010000220,1117 Budapest 11. ker. Alíz   6 A,2013.07.01,2033.06.30,47.4592401,19.0494065,ok,"Budapest, Alíz utca 6 A, 1117 Hungary","https://www.google.com/maps/place/Budapest,+Al%C3%ADz+utca+6+A,+1117+Hungary/@47.4592401,19.0494065,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dda1d24eef7f:0x24d49ec4647e715a!8m2!3d47.4592401!4d19.0494065!16s%2Fg%2F11yc8313gx?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Merin Tabak Bt,DKE1010000221,1119 Budapest 11. ker. Bártfai   1-3.,2013.07.01,2033.06.30,47.4674735,19.0433119,ok,"Budapest, Bártfai u. 1-3, 1119 Hungary","https://www.google.com/maps/place/Budapest,+B%C3%A1rtfai+u.+1-3,+1119+Hungary/@47.4674735,19.0433119,17z/data=!3m1!4b1!4m6!3m5!1s0x4741ddbb280421bb:0x2d9d7a7a3e7faee4!8m2!3d47.4674735!4d19.0433119!16s%2Fg%2F11cs85805d?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mészáros János,DKE1010000030,1117 Budapest 11. ker. Hunyadi János út 19.,2023.05.10,2033.06.30,47.4353295,19.0414752,ok,"Budapest, Hunyadi János út 19, 1117 Hungary","https://www.google.com/maps/place/Budapest,+Hunyadi+J%C3%A1nos+%C3%BAt+19,+1117+Hungary/@47.4357751,19.0407295,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e783eb1671eb:0x3f952c1336c500b8!8m2!3d47.4353295!4d19.0414752!16s%2Fg%2F11b8tgn5_h?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mészáros Jánosné,DKE1010000024,1193 Budapest 19. ker. Ötvenhatosok tere 17.,2013.07.01,2033.06.30,47.4498491,19.1473556,ok,"Budapest, Ötvenhatosok tere 17, 1195 Hungary","https://www.google.com/maps/place/Budapest,+%C3%96tvenhatosok+tere+17,+1195+Hungary/@47.4498491,19.1473556,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c2efab8ccb07:0xf838bc3afd4912a6!8m2!3d47.4498491!4d19.1473556!16s%2Fg%2F11c5pw77nc?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Metro Trafik Bt,DKE1010000301,1091 Budapest 09. ker. Kálvin tér 9.,2013.07.01,2033.06.30,47.4889541,19.061843,ok,"Budapest, Kálvin tér 9-1091, 1092 Hungary","https://www.google.com/maps/place/Budapest,+K%C3%A1lvin+t%C3%A9r+9-1091,+1092+Hungary/@47.4889541,19.061843,17z/data=!3m1!4b1!4m5!3m4!1s0x4741dc5aef93c6ad:0x6f6bd079c0ecdfe1!8m2!3d47.4889541!4d19.061843?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Metro Trafik Bt,DKE1010000303,1091 Budapest 09. ker. Kálvin tér 7.,2013.07.01,2033.06.30,47.488542,19.0607576,ok,"Budapest, Kálvin tér 7-1091, 1092 Hungary","https://www.google.com/maps/place/Budapest,+K%C3%A1lvin+t%C3%A9r+7-1091,+1092+Hungary/@47.488542,19.0607576,17z/data=!3m1!4b1!4m5!3m4!1s0x4741dc5aeb97a17f:0x49de76f2d460627d!8m2!3d47.488542!4d19.0607576?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Metro Trafik Bt,DKE1010000304,1097 Budapest 09. ker. Gubacsi út 34.,2013.07.01,2033.06.30,47.4453546,19.0971301,ok,"Budapest, Gubacsi út 34, 1097 Hungary","https://www.google.com/maps/place/Budapest,+Gubacsi+%C3%BAt+34,+1097+Hungary/@47.4453546,19.0971301,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dd4c0a165de5:0x177c161fb6a2adb6!8m2!3d47.4453546!4d19.0971301!16s%2Fg%2F11zcw4p35b?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Metro Trafik Bt.,DKE1010000302,"1093 Budapest, Gönczy Pál utca 2. földszint IV. ajtó",2025.09.01,2033.06.30,47.487221,19.060145,no_place,,"https://www.google.com/maps/search/1093+Budapest,+G%C3%B6nczy+P%C3%A1l+utca+2.+f%C3%B6ldszint+IV.+ajt%C3%B3/@47.4872616,19.0599707,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
METRO-MOBIL Bt,DKE1600000085,"1161 Budapest, Csömöri út 109.",2024.04.01,2033.06.30,47.52441,19.15886,ok,"Budapest, Csömöri út 109, 1161 Hungary","https://www.google.com/maps/place/Budapest,+Cs%C3%B6m%C3%B6ri+%C3%BAt+109,+1161+Hungary/@47.52441,19.15886,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c4cb3023d785:0x36b88a81818bcdff!8m2!3d47.52441!4d19.15886!16s%2Fg%2F11csf_rwqt?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mihók Anita Andrea,DKE1600000209,"1165 Budapest, Margit utca 102.",2026.02.11,2033.06.30,47.5166559,19.1888251,ok,"Budapest, Margit u. 102, 1165 Hungary","https://www.google.com/maps/place/Budapest,+Margit+u.+102,+1165+Hungary/@47.5166559,19.1888251,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c4eb4ff32baf:0x59691b016aed79da!8m2!3d47.5166559!4d19.1888251!16s%2Fg%2F11l5d0lh90?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mirabend Bt.,DKE1010000121,1126 Budapest 12. ker. Dolgos utca 2. fsz. 171. üzlet,2013.07.01,2033.06.30,47.4915641,19.0207011,no_place,,"https://www.google.com/maps/search/1126+Budapest+12.+ker.+Dolgos+utca+2.+fsz.+171.+%C3%BCzlet/@47.4910809,19.0218578,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mizacor-trade 2002 Bt.,DKE1700000232,"1037 Budapest, Bécsi út 43.",2019.11.26,2033.06.30,47.5280499,19.0378252,ok,"Budapest, Bécsi út 43, 1036 Hungary","https://www.google.com/maps/place/Budapest,+B%C3%A9csi+%C3%BAt+43,+1036+Hungary/@47.5280499,19.0378252,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d956f515e5b5:0x6321f86ff9a0952c!8m2!3d47.5280499!4d19.0378252!16s%2Fg%2F11xt42wfb1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mizacor-trade 2002 Bt.,DKE1700000234,1032 Budapest 03. ker. Bécsi út 136.,2013.07.01,2033.06.30,47.5438131,19.0288418,ok,"Budapest, Bécsi út 136, 1036 Hungary","https://www.google.com/maps/place/Budapest,+B%C3%A9csi+%C3%BAt+136,+1036+Hungary/@47.5438759,19.0289317,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d96a74ade587:0x6f771a174d22a0e9!8m2!3d47.5438131!4d19.0288418!16s%2Fg%2F11bvtdqd8p?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
MJ-King Trafik Bt.,DKE1700000171,1046 Budapest 04. ker. Eperjesi utca 1/A:,2013.07.01,2033.06.30,47.5738379,19.103204,ok,"Budapest, Eperjesi u. 1/A, 1046 Hungary","https://www.google.com/maps/place/Budapest,+Eperjesi+u.+1%2FA,+1046+Hungary/@47.5738379,19.103204,17z/data=!3m1!4b1!4m6!3m5!1s0x4741da152b5e5f0d:0x19323b485b8804c9!8m2!3d47.5738379!4d19.103204!16s%2Fg%2F11nnkrw936?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Moldovainé Kavasinszky Ilona,DKE1010000059,1203 Budapest 20. ker. Baross utca 5/A,2013.07.01,2033.06.30,47.4407666,19.0960919,ok,"Budapest, Baross u. 5/A, 1203 Hungary","https://www.google.com/maps/place/Budapest,+Baross+u.+5%2FA,+1203+Hungary/@47.4407666,19.0960919,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dd4d81c2e635:0x80d5764745015a53!8m2!3d47.4407666!4d19.0960919!16s%2Fg%2F11zcw3tp4f?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Moldovainé Kavasinszky Ilona,DKE1600000020,1102 Budapest 10. ker. Liget tér hrsz 38927,2013.07.01,2033.06.30,,,no_place,,"https://www.google.com/maps/search/1102+Budapest+10.+ker.+Liget+t%C3%A9r+hrsz+38927/@47.4863072,19.1315172,16z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Mucsányi Károly Ferencné,DKE1600000313,1173 Budapest 17. ker. Bakancsos utca 5.,2013.12.18,2033.06.30,47.480007,19.243954,ok,"Budapest, Bakancsos u. 5, 1173 Hungary","https://www.google.com/maps/place/Budapest,+Bakancsos+u.+5,+1173+Hungary/@47.480007,19.243954,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c3fdc19ef915:0xdd07a493f8fe422!8m2!3d47.480007!4d19.243954!16s%2Fg%2F11c5pj26s5?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
MULTI TRAFIK Bt.,DKE1600000194,"1065 Budapest, Hajós utca 23.",2024.04.08,2033.06.30,47.5038147,19.0579235,ok,"Budapest, Hajós u. 23, 1065 Hungary","https://www.google.com/maps/place/Budapest,+Haj%C3%B3s+u.+23,+1065+Hungary/@47.5038147,19.0579235,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc6c8f2d1917:0x56ba2bc326cf90ce!8m2!3d47.5038147!4d19.0579235!16s%2Fg%2F11rg695pyv?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
MULTI TRAFIK Bt.,DKE1600000197,"1142 Budapest, Ungvár utca 50.",2024.04.08,2033.06.30,47.5337941,19.1059563,ok,"Budapest, Ungvár u. 50, 1142 Hungary","https://www.google.com/maps/place/Budapest,+Ungv%C3%A1r+u.+50,+1142+Hungary/@47.5337941,19.1059563,17z/data=!3m1!4b1!4m6!3m5!1s0x4741db0a71992ab3:0x7fb6e8c146812264!8m2!3d47.5337941!4d19.1059563!16s%2Fg%2F11rgdlkhyv?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
N&J Family Dohány BT,DKE1600000140,1162 Budapest 16. ker. Mátyás király út 58.,2013.07.01,2033.06.30,47.5275805,19.1806017,ok,"Budapest, Mátyás király u. 58, 1162 Hungary","https://www.google.com/maps/place/Budapest,+M%C3%A1ty%C3%A1s+kir%C3%A1ly+u.+58,+1162+Hungary/@47.5275805,19.1806017,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c4c4caeeb183:0xf7ace4c5fcc5f587!8m2!3d47.5275805!4d19.1806017!16s%2Fg%2F11j8w5dh1_?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Nacsavin Tabak Bt.,DKE1600000262,"1165 Budapest, Arany János utca 102.",2014.12.13,2033.06.30,47.520907,19.1865277,ok,"Budapest, Arany János u. 102, 1165 Hungary","https://www.google.com/maps/place/Budapest,+Arany+J%C3%A1nos+u.+102,+1165+Hungary/@47.520907,19.1865277,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c4ea1a9b7e69:0xdef68d068459315d!8m2!3d47.520907!4d19.1865277!16s%2Fg%2F11trdp42h9?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Nacsavin Tabak Bt.,DKE1600000269,"1165 Budapest, Bökényföldi út 117547. hrsz.",2024.12.18,2033.06.30,47.509975,19.2069849,no_place,,"https://www.google.com/maps/search/1165+Budapest,+B%C3%B6k%C3%A9nyf%C3%B6ldi+%C3%BAt+117547.+hrsz./@47.499784,19.2249739,16z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Nagy A Dohány Bt.,DKE1010000031,1239 Budapest 23. ker. Grassalkovich út 171,2013.07.01,2033.06.30,47.398423,19.1154738,ok,"Budapest, Grassalkovich út 171, 1239 Hungary","https://www.google.com/maps/place/Budapest,+Grassalkovich+%C3%BAt+171,+1239+Hungary/@47.398423,19.1154738,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e84f8f658ded:0xb1e64f97b7048304!8m2!3d47.398423!4d19.1154738!16s%2Fg%2F11jn4dr75j?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Nagy A Dohány Bt.,DKE1010000032,1205 Budapest 20. ker. Határ út 95,2013.07.01,2033.06.30,47.4544032,19.1133207,ok,"Budapest, Határ út 95, 1205 Hungary","https://www.google.com/maps/place/Budapest,+Hat%C3%A1r+%C3%BAt+95,+1205+Hungary/@47.4544032,19.1133207,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c2cc592cc589:0xbc4af7ee2eeee3f1!8m2!3d47.4544032!4d19.1133207!16s%2Fg%2F11fwhlbgjr?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Nagy A Dohány Bt.,DKE1010000038,1211 Budapest 21. ker. Szent Imre tér 19.,2013.07.01,2033.06.30,47.4317236,19.0707942,ok,"Budapest, Szent Imre tér 19, 1211 Hungary","https://www.google.com/maps/place/Budapest,+Szent+Imre+t%C3%A9r+19,+1211+Hungary/@47.4317236,19.0707942,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e7f42ede520b:0x1b5ba92a0846e38a!8m2!3d47.4317236!4d19.0707942!16s%2Fg%2F11y69q1890?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Nagy A Dohány Bt.,DKE1700000057,1036 Budapest 03. ker. Pacsirtamező utca 22/B.,2013.07.01,2033.06.30,47.5344843,19.0396591,no_place,,"https://www.google.com/maps/search/1036+Budapest+03.+ker.+Pacsirtamez%C5%91+utca+22%2FB./@47.5343338,19.0396415,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Nagy Erika,DKE1600000001,1162 Budapest 16. ker. György utca 2.,2013.07.01,2033.06.30,47.5307951,19.1715095,ok,"Budapest, György u. 2, 1162 Hungary","https://www.google.com/maps/place/Budapest,+Gy%C3%B6rgy+u.+2,+1162+Hungary/@47.5307951,19.1715095,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c4d1943cba57:0xc05e8a85f96cfdd9!8m2!3d47.5307951!4d19.1715095!16s%2Fg%2F11jn4f1p2g?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Nagy Márta,DKE1010000074,1183 Budapest 18. ker. Balassa utca 2-10.,2013.07.01,2033.06.30,47.4416797,19.184337,ok,"Budapest, Balassa Bálint u. 2-10, 1183 Hungary","https://www.google.com/maps/place/Budapest,+Balassa+B%C3%A1lint+u.+2-10,+1183+Hungary/@47.4429394,19.1850921,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c2465f7d2f75:0xb353c5ae4ab0afe6!8m2!3d47.4416797!4d19.184337!16s%2Fg%2F11j07vrlbk?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Nagydohány-1161 Bt.,DKE1600000207,1162 Budapest 16. ker. Rákosi út 142-146.,2013.07.01,2033.06.30,47.5235386,19.1721609,ok,"Budapest, Rákosi út 142-146, 1162 Hungary","https://www.google.com/maps/place/Budapest,+R%C3%A1kosi+%C3%BAt+142-146,+1162+Hungary/@47.5235386,19.1721609,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c4c8a851800d:0x47833aa57204edf5!8m2!3d47.5235386!4d19.1721609!16s%2Fg%2F11ryjj91_0?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Nagyvadász Bt,DKE1600000099,1106 Budapest 10. ker. Harmat utca 113.,2013.07.01,2033.06.30,47.4715183,19.1632136,ok,"Budapest, Harmat u. 113, 1108 Hungary","https://www.google.com/maps/place/Budapest,+Harmat+u.+113,+1108+Hungary/@47.4715183,19.1632136,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c3104580565d:0xf0b92fd82efbf757!8m2!3d47.4715183!4d19.1632136!16s%2Fg%2F11fsx6zfjl?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Nagyvadász Bt.,DKE1010000109,"1191 Budapest, Vak Bottyán utca 72. földszint 3. ajtó",2025.01.27,2033.06.30,47.4618016,19.1460659,no_place,,"https://www.google.com/maps/search/1191+Budapest,+Vak+Botty%C3%A1n+utca+72.+f%C3%B6ldszint+3.+ajt%C3%B3/@47.4620868,19.1476384,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
