Name,License Number,Address,Start of Validity,End of Validity,Latitude,Longitude
Bopet Trafik Bt.,DKE1700000186,"1044 Budapest, Kemény Zsigmond utca 75836. hrsz.",2025.03.07,2033.06.30,47.576567,19.0808115
Borosi Tabak-Shop Bt,DKE1700000144,1028 Budapest 02. ker. Máriaremetei út 1.,2013.07.01,2033.06.30,47.5453281,18.9633231
Borosi Tabak-Shop Bt,DKE1700000145,1051 Budapest 05. ker. Váci utca 54,2013.07.01,2033.06.30,47.4902155,19.0555231
BRUCKER PLUSZ Bt.,DKE1010000027,"1223 Budapest, Jókai Mór utca 38.",2026.02.26,2033.06.30,47.4132706,19.016982
Buda Dohány Bt,DKE1010000145,1221 Budapest 22. ker. Ady Endre út 99.,2013.07.01,2033.06.30,47.4409278,19.0223912
Buda Dohány Bt,DKE1010000147,1225 Budapest 22. ker. Nagytétényi út 242.,2013.07.01,2033.06.30,47.3955426,18.9935488
Centrál Tabak Bt.,DKE1600000304,1082 Budapest 08. ker. Corvin köz 1.,2013.07.01,2033.06.30,47.4861623,19.0713676
Cigibolt Bt.,DKE1600000018,1102 Budapest 10. ker. Kőrösi Csoma Sándor út 6/E,2013.07.01,2033.06.30,47.4865004,19.1327222
CigiMarket Bt.,DKE1600000175,"1146 Budapest, Thököly út 150.",2025.06.04,2033.06.30,47.5172135,19.1082726
CigiMarket Bt.,DKE1700000018,"1037 Budapest, Bécsi út 265.",2025.06.04,2033.06.30,47.5817211,19.0018361
Cipido Trafik Bt.,DKE1700000103,1133 Budapest 13. ker. Véső utca 11.,2013.07.01,2033.06.30,47.5291495,19.0622055
Cipido Trafik Bt.,DKE1700000104,1035 Budapest 03. ker. Szentendrei út 34.,2013.07.01,2033.06.30,47.5486745,19.0428852
Csajszik Vend.Ker. és Szolg. Bt,DKE1700000047,1046 Budapest 04. ker. Erdősor utca 3-5,2013.07.01,2033.06.30,47.4163267,19.0614419
Csaszi Trafik Bt,DKE1700000193,1041 Budapest 04. ker. Templom utca 1.,2013.07.01,2033.06.30,47.5634698,19.0873865
CSERR-TRAFIK Bt.,DKE1600000079,"1173 Budapest, Újlak utca 9.",2023.03.14,2033.06.30,47.4808924,19.2398863
Cseszter- Dohány Bt,DKE1700000093,1027 Budapest 02. ker. Varsányi Irén utca 1.,2013.07.01,2033.06.30,47.5096143,19.0334503
CSÍKOSA TRAFIK Bt.,DKE1600000267,"1142 Budapest, Erzsébet királyné útja 125.",2023.08.11,2033.06.30,47.5345733,19.1132684
CSÍKOSA TRAFIK Bt.,DKE1700000131,"1033 Budapest, Miklós utca 5.",2023.08.11,2033.06.30,47.5430252,19.0427093
Csiszitipp Bt.,DKE1600000137,1163 Budapest 16. ker. Sashalmi tér 1.,2013.07.01,2033.06.30,47.5095091,19.1713614
CSITABAK Bt.,DKE1600000241,"1086 Budapest, Baross
 utca 129. földszint",2024.07.26,2033.06.30,47.4892113,19.0898498
CSITABAK Bt.,DKE1600000242,"1077 Budapest, Wesselényi utca 19.",2023.08.04,2033.06.30,47.4976471,19.0639595
CSITABAK Bt.,DKE1700000132,"1035 Budapest, Bécsi út 325-337.",2023.08.04,2033.06.30,47.5604405,19.0252138
Cukicigi Bt,DKE1010000060,1201 Budapest 20. ker. Vörösmarty utca 178,2013.07.01,2033.06.30,47.4274582,19.1125796
Cziegelmayer Anita,DKE1600000260,"1107 Budapest, Szállás utca 11/A.",2024.11.20,2033.06.30,47.4792036,19.1238492
Cziegelmayer Anita,DKE1600000280,1107 Budapest 10. ker. Bihari utca 7/A.,2013.07.01,2033.06.30,47.4738803,19.1162303
Dallos Klára Ágnes,DKE1600000049,"1141 Budapest, Vezér utca 74.",2023.07.26,2033.06.30,47.5133715,19.1366527
Dallos Klára Ágnes,DKE1600000050,"1141 Budapest, Hrsz. 31484/136.",2023.08.21,2033.06.30,,
Dallos Klára Ágnes,DKE1600000051,"1144 Budapest, Rákosfalva park 3.",2023.07.26,2033.06.30,47.5068921,19.1454745
Darabos Levente,DKE1600000095,1171 Budapest 17. ker. Nyomdász utca 1.,2013.07.01,2033.06.30,47.4615347,19.2988701
Dé-Es Tabak Bt,DKE1600000103,1173 Budapest 17. ker. Kis utca 3.,2013.07.01,2033.06.30,47.4824098,19.2388958
Deme-Kisker 2013 Bt,DKE1600000156,1108 Budapest 10. ker. Újhegyi sétány 12.,2013.07.01,2033.06.30,47.469415,19.1608772
Dident Tobacco Bt,DKE1010000213,1215 Budapest 21. ker. Ady Endre út 65,2013.07.01,2033.06.30,47.4348759,19.0791954
Dident Tobacco Bt,DKE1010000260,1214 Budapest 21. ker. II. Rákóczi Ferenc út 366.,2013.07.05,2033.06.30,47.3913741,19.0355084
Dident Tobacco Bt,DKE1010000272,1214 Budapest 21. ker. Nap utca 2.,2013.07.01,2033.06.30,47.4875908,19.0708697
Dident Tobacco Bt,DKE1010000273,1214 Budapest 21. ker. Vénusz utca 33.,2013.07.01,2033.06.30,47.4102595,19.0602443
Dident Tobacco Bt,DKE1010000276,1211 Budapest 21. ker. Mansfeld Péter utca 92.,2013.07.01,2033.06.30,47.4249249,19.0626917
Diego Trade Bt.,DKE1010000093,"1095 Budapest, Boráros téri  aluljáró alsó szint 12.",2022.12.21,2033.06.30,,
Diego Trade Bt.,DKE1010000123,"1114 Budapest, Bartók Béla út 49.",2022.12.21,2033.06.30,47.4783542,19.048213
Diego Trade Bt.,DKE1600000105,"1146 Budapest, Thököly út 117.",2022.12.21,2033.06.30,47.5134323,19.1027141
Diego Trade Bt.,DKE1700000098,"1134 Budapest, Dózsa György úti aluljáró Csat. Műv. telep",2022.12.21,2033.06.30,,
Dió Dohány Bt,DKE1600000179,1102 Budapest 10. ker. Kőrösi Csoma Sándor út 40.,2013.07.01,2033.06.30,47.4908162,19.1366942
DO & MA '96 Bt.,DKE1010000191,"1183 Budapest, Gyömrői út 174.",2024.07.26,2033.06.30,47.4529956,19.1953659
Dohány és Ital Shop Bt,DKE1700000080,1038 Budapest 03. ker. Hollós Korvin Lajos utca 6.,2013.07.01,2033.06.30,47.594613,19.0499451
DOHÁNY-ÁSZ Bt.,DKE1600000189,"1082 Budapest, Üllői út 54. földszint 4. ajtó",2025.01.15,2033.06.30,47.4838086,19.0757436
